Directories,First,Second,Third
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/royal_s_copeland.txt,"(3, 74.2115592)","(17, 12.5388285)","(9, 8.9430394)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/ellenharvelle.txt,"(0, 91.0408977)","(10, 5.0820624)","(18, 3.3394416000000002)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/abbeymillsmosque.txt,"(13, 40.2987105)","(8, 30.6125628)","(10, 12.511513099999998)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/mementofilm.txt,"(18, 62.00454800000001)","(17, 15.1079831)","(10, 11.331556299999999)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/colorchart.txt,"(2, 45.2464492)","(4, 15.780672000000001)","(12, 14.4059102)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/brainstorming.txt,"(10, 80.92142439999999)","(12, 11.3622392)","(13, 5.1936845)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/greatlakestwa.txt,"(6, 80.7510189)","(10, 9.117075400000001)","(3, 3.6813116999999997)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/dwavesystems.txt,"(2, 55.2196198)","(12, 16.5139448)","(13, 9.327860000000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/sentinelprime.txt,"(16, 85.1106715)","(0, 3.7279263)","(10, 3.4677375)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/monaragalaroyalcolle.txt,"(9, 93.0813703)","(1, 1.9942332)","(11, 1.9861404)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/thekominas.txt,"(14, 48.760700899999996)","(19, 17.1187787)","(10, 13.404697700000002)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/thenewyorktimes.txt,"(17, 48.066157399999994)","(13, 23.1304619)","(10, 14.1699183)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/curveball.txt,"(4, 37.8634908)","(1, 22.344559)","(2, 15.082264)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/dembaba.txt,"(1, 94.5602431)","(5, 1.6437696000000002)","(10, 1.3792151000000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/popidol.txt,"(14, 80.3868305)","(10, 5.9655781999999995)","(17, 5.1588009)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/joeygreco.txt,"(17, 72.4128699)","(18, 16.1259868)","(0, 10.058687500000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/lowlatency.txt,"(12, 64.68002080000001)","(17, 5.2592442)","(10, 4.2663539)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/dermotahern.txt,"(3, 40.982565300000005)","(13, 38.2202238)","(17, 11.322318000000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/faithinbuddhism.txt,"(19, 71.2078473)","(10, 27.952613500000002)","(5, 0.6170952000000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/tulku.txt,"(19, 75.7739493)","(10, 19.7031152)","(17, 3.3681771)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/tommydavisscientolog.txt,"(17, 68.378197)","(13, 23.086846899999998)","(19, 2.1296467999999997)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/lamanai.txt,"(6, 56.8997109)","(8, 19.5580017)","(10, 8.170367)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/bankofengland.txt,"(13, 69.167024)","(8, 16.615441999999998)","(17, 5.5995915)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/theadventuresofdrmcn.txt,"(16, 53.470336399999994)","(0, 26.440626099999996)","(17, 7.7033349)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/nocturnalemission.txt,"(15, 46.615681599999995)","(10, 25.6166589)","(19, 15.0773482)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/rahul.txt,"(19, 54.6149313)","(17, 42.7848114)","(18, 1.0757841000000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/boniver.txt,"(14, 79.69496240000001)","(17, 11.3908989)","(0, 2.9896387)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/uncharteddrakesfortu.txt,"(18, 53.364993000000005)","(16, 14.4427262)","(12, 9.4769351)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/omegat.txt,"(12, 92.8156431)","(10, 4.416822799999999)","(13, 1.6059066)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/edwardpney.txt,"(2, 53.8022492)","(17, 23.4132743)","(9, 12.2810633)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/brethrenofthefreespi.txt,"(19, 54.217545799999996)","(10, 19.7283771)","(7, 14.2596765)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/chalfontstpeter.txt,"(8, 78.6643898)","(17, 14.9364362)","(11, 1.9382792999999998)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/bmwm5.txt,"(4, 91.6733285)","(14, 3.457689)","(13, 2.8293665)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/hockeytape.txt,"(4, 75.4698657)","(1, 17.7873474)","(13, 5.4657516)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/patlaborthemovie.txt,"(18, 58.8784285)","(16, 9.9726205)","(5, 6.7848014)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/ijustcantwaittobekin.txt,"(14, 35.8814786)","(18, 32.8229711)","(10, 12.843483299999999)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/mongolbow.txt,"(4, 33.7282213)","(5, 27.8965943)","(6, 19.330416200000002)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/tashnarnia.txt,"(0, 68.0766537)","(19, 15.158182700000001)","(10, 14.550354200000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/missionaryldschurch.txt,"(19, 30.0438109)","(10, 20.1363195)","(17, 14.5086572)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/farringdonstation.txt,"(11, 86.44016)","(8, 10.9357705)","(2, 1.2185315)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/jamaicakincaid.txt,"(17, 58.8133743)","(10, 27.7823567)","(0, 6.4475459)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/universitycottageclu.txt,"(8, 43.351219)","(17, 28.631554599999998)","(9, 26.9357511)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/daveweldon.txt,"(3, 65.2617328)","(17, 14.1214184)","(9, 10.3938375)"
